"country","party_id","party","party_short","comment","party_name","polity_notes","country_short"
"Montenegro","#4990035","People's Coalition (NK)","NK",,"People's Coalition",,"MNE"
"Montenegro","#4990036","Party of Pensionists and Disabled",,,"Party of Pensionists and Disabled",,"MNE"
"Montenegro","#4990037","Serbian Unity (SS)","SS",,"Serbian Unity",,"MNE"
"Montenegro","#4990038","Forca New Democratic Power (Forca)","Forca",,"Forca New Democratic Power",,"MNE"
"Montenegro","#4990039","Force for Unity (FZJ - FPB)","FZJ - FPB",,"Force for Unity",,"MNE"
"Montenegro","#4990040","Bosniaks and Muslims - Together",,,"Bosniaks and Muslims - Together",,"MNE"
"Montenegro","#4990041","Liberal Party (LP)","LP",,"Liberal Party",,"MNE"
"Netherlands","#5280001","Christian Democratic Appeal (CDA)","CDA",,"Christian Democratic Appeal",,"NLD"
"Netherlands","#5280002","Labor Party (PvdA)","PvdA",,"Labor Party",,"NLD"
"Netherlands","#5280003","People's Party for Freedom and Democracy (VVD)","VVD",,"People's Party for Freedom and Democracy",,"NLD"
"Netherlands","#5280004","Democrats 66 (D66)","D66",,"Democrats 66",,"NLD"
"Netherlands","#5280005","Green Left (GL)","GL",,"Green Left","Green Left (GL) formed in 1989 as a merger of the Communist Party (CPN), the Pacifist Socialist Party (PSB), the Political Party of Radicals (PRP), and the Evangelical People's Party (EVP).","NLD"
"Netherlands","#5280006","Socialist Party (SP)","SP",,"Socialist Party",,"NLD"
"Netherlands","#5280007","Reformed Political Party (SGP)","SGP",,"Reformed Political Party",,"NLD"
"Netherlands","#5280008","Christian Union (CU)","CU",,"Christian Union","Christian Union (CU) was founded as an alliance in January 2000, consisting out of the Reformed Political Alliance (GPV) and the Reformatory Political Federation (RPF). The alliance turned into a political party in 2001.","NLD"
"Netherlands","#5280009","Party for Freedom (PVV)","PVV",,"Party for Freedom",,"NLD"
"Netherlands","#5280010","Party for the Netherlands (PVN)","PVN",,"Party for the Netherlands",,"NLD"
"Netherlands","#5280011","Proud of the Netherlands (TON)","TON",,"Proud of the Netherlands",,"NLD"
"Netherlands","#5280012","One NL (EenNL)","EenNL",,"One NL",,"NLD"
"Netherlands","#5280013","Party for the Animals (PvdD)","PvdD",,"Party for the Animals",,"NLD"
"Netherlands","#5280014","List Pim Fortuyn (LPF)","LPF",,"List Pim Fortuyn",,"NLD"
"Netherlands","#5280015","Local List	",,,"Local List	",,"NLD"
"Netherlands","#5280016","Livable Netherlands (LN)","LN",,"Livable Netherlands",,"NLD"
"Netherlands","#5280017","United Seniors Party (VSP)","VSP",,"United Seniors Party","United Seniors Party (VSP) was formerly known as General Alliance of the Elderly (AOV). It adopted its current name in 2001. Union 55+ merged with the AOV prior to the 1998 elections.","NLD"
"Netherlands","#5280019","Anti-Revolutionary Party (ARP)","ARP",,"Anti-Revolutionary Party",,"NLD"
"Netherlands","#5280020","Farmer Party (Bp)","Bp",,"Farmer Party",,"NLD"
"Netherlands","#5280021","Centre Democrats (CD)","CD",,"Centre Democrats",,"NLD"
"Netherlands","#5280022","Centre Party (CP)","CP",,"Centre Party",,"NLD"
"Netherlands","#5280023","Communist Party of the Netherlands (CPN)","CPN",,"Communist Party of the Netherlands",,"NLD"
"Netherlands","#5280024","Democratic Socialists 70 (DS70)","DS70",,"Democratic Socialists 70",,"NLD"
"Netherlands","#5280025","Evangelical People's Party (EVP)","EVP",,"Evangelical People's Party",,"NLD"
"Netherlands","#5280026","Reformed Political Alliance (GPV)","GPV",,"Reformed Political Alliance",,"NLD"
"Netherlands","#5280027","The Greens (Groen)","Groen",,"The Greens",,"NLD"
"Netherlands","#5280028","Catholic Peoples Party (KVP)","KVP",,"Catholic Peoples Party",,"NLD"
"Netherlands","#5280029","New Communist Party of the Netherlands (NCPN)","NCPN",,"New Communist Party of the Netherlands",,"NLD"
"Netherlands","#5280030","Natural Law Party (NLP)","NLP",,"Natural Law Party",,"NLD"
"Netherlands","#5280031","New Middle Party (NMP)","NMP",,"New Middle Party",,"NLD"
"Netherlands","#5280032","Radical Political Party (PPR)","PPR",,"Radical Political Party",,"NLD"
"Netherlands","#5280033","Pacifist Socialist Party (PSB)","PSB",,"Pacifist Socialist Party",,"NLD"
"Netherlands","#5280034","Party for the Future (PvdT)","PvdT",,"Party for the Future",,"NLD"
"Netherlands","#5280035","Reformatory Political Federation (RPF)","RPF",,"Reformatory Political Federation",,"NLD"
"Netherlands","#5280036","Republican People's Party (RVP)","RVP",,"Republican People's Party",,"NLD"
"Netherlands","#5280037","Social Democratic Workers' Party (SDAP)","SDAP",,"Social Democratic Workers' Party",,"NLD"
"Netherlands","#5280038","Free Indian Party (VIP)","VIP",,"Free Indian Party",,"NLD"
"Netherlands","#5280039","Free Indian Party - The Elder Union (VIP - Ouderenunie)",,"VIP - Ouderenunie","Free Indian Party - The Elder Union",,"NLD"
"Netherlands","#5280040","Union 55+",,,"Union 55+",,"NLD"
"Netherlands","#5280041","Seniors 2000",,,"Seniors 2000",,"NLD"
"Netherlands","#5280042","Mobile Netherlands",,,"Mobile Netherlands",,"NLD"
"Netherlands","#5280043","New Social Elder's Party",,,"New Social Elder's Party",,"NLD"
"Netherlands","#5280044","You and the Idealists",,,"You and the Idealists",,"NLD"
"Netherlands","#5280045","The Electoral Collective",,,"The Electoral Collective",,"NLD"
"Netherlands","#5280046","Sustainable Netherlands",,,"Sustainable Netherlands",,"NLD"
"Netherlands","#5280047","Female Interaction",,,"Female Interaction",,"NLD"
"New Zealand","#5540001","National Party (NP)","NP",,"National Party",,"NZL"
"New Zealand","#5540002","Labor Party (Lab)","Lab",,"Labor Party",,"NZL"
"New Zealand","#5540003","New Zealand First (NZF)","NZF",,"New Zealand First",,"NZL"
"New Zealand","#5540004","Act New Zealand (ACT)","ACT",,"Act New Zealand",,"NZL"
"New Zealand","#5540005","Green Party (GP)","GP",,"Green Party",,"NZL"
"New Zealand","#5540006","United Future New Zealand (UFNZ)","UFNZ",,"United Future New Zealand","United Future New Zealand (UFNZ) was founded in 2000 as a merger of United New Zealand (UNZ) and Future New Zealand (FNZ).","NZL"
"New Zealand","#5540007","Conservative Party (CP)","CP",,"Conservative Party",,"NZL"
"New Zealand","#5540008","Maori Party (MP)","MP",,"Maori Party",,"NZL"
"New Zealand","#5540009","Alliance (ALL)","ALL",,"Alliance",,"NZL"
"New Zealand","#5540010","Internet MANA (IP - MANA)","IP - MANA",,"Internet MANA",,"NZL"
"New Zealand","#5540011","MANA Movement (MANA)","MANA",,"MANA Movement",,"NZL"
"New Zealand","#5540012","Jim Anderton's Progressive Party (PP)","PP",,"Jim Anderton's Progressive Party","Jim Anderton's Progressive Party (PP) is a splinter from the Alliance (ALL). It was founded in 2002.","NZL"
"New Zealand","#5540013","Future New Zealand (FNZ)","FNZ",,"Future New Zealand",,"NZL"
"New Zealand","#5540014","Christian Heritage Party of New Zealand (CHP)","CHP",,"Christian Heritage Party of New Zealand",,"NZL"
"New Zealand","#5540015","United New Zealand (UNZ)","UNZ",,"United New Zealand",,"NZL"
"New Zealand","#5540016","NZ Conservative",,,"NZ Conservative",,"NZL"
"New Zealand","#5540017","One New Zealand Party",,,"One New Zealand Party",,"NZL"
"New Zealand","#5540018","New Zealand Pacific Party",,,"New Zealand Pacific Party",,"NZL"
"New Zealand","#5540019","Libertarian",,,"Libertarian",,"NZL"
"New Zealand","#5540020","Liberal",,,"Liberal",,"NZL"
"New Zealand","#5540021","Progressive Green",,,"Progressive Green",,"NZL"
"New Zealand","#5540022","Workers' Party",,,"Workers' Party",,"NZL"
"New Zealand","#5540023","Mana Maori",,,"Mana Maori",,"NZL"
"New Zealand","#5540024","Mana Motuhake",,,"Mana Motuhake",,"NZL"
"New Zealand","#5540025","Libertarian",,,"Libertarian",,"NZL"
"New Zealand","#5540026","Kiwi Party",,,"Kiwi Party","Kiwi Party is a splinter party from United Future New Zealand (UFNZ).","NZL"
"New Zealand","#5540027","Blokes' Libertarian",,,"Blokes' Libertarian",,"NZL"
"New Zealand","#5540028","Democrat",,,"Democrat",,"NZL"
"New Zealand","#5540029","Family Party",,,"Family Party",,"NZL"
"New Zealand","#5540030","Green Society",,,"Green Society",,"NZL"
"New Zealand","#5540031","Progressive Party (PP)","PP",,"Progressive Party",,"NZL"
"New Zealand","#5540032","Residents' Action Movement (RAM)","RAM",,"Residents' Action Movement",,"NZL"
"New Zealand","#5540033","Republic of NZ (RONZP)","RONZP",,"Republic of NZ",,"NZL"
"New Zealand","#5540034","McGillicuddy Serious (McGSP)","McGSP",,"McGillicuddy Serious",,"NZL"
"New Zealand","#5540035","Democrats for Social Credit (NZDSC)","NZDSC",,"Democrats for Social Credit",,"NZL"
"New Zealand","#5540036","Outdoor Recreation New Zealand (OR)","OR",,"Outdoor Recreation New Zealand",,"NZL"
"New Zealand","#5540037","Christian Coalition",,,"Christian Coalition",,"NZL"
"New Zealand","#5540038","Aotearoa Legalise Cannabis (ALCP)","ALCP",,"Aotearoa Legalise Cannabis",,"NZL"
"New Zealand","#5540039","Bill and Ben Party (B&B)","B&B",,"Bill and Ben Party",,"NZL"
"Norway","#5780001","Labor Party (Ap)","Ap",,"Labor Party","Labor Party (Ap) changed its name from Norwegian Labor Party (DNA) to Labor Party (Ap) in 2011.","NOR"
"Norway","#5780002","Conservative Party (H)","H",,"Conservative Party",,"NOR"
"Norway","#5780003","Progress Party (FrP)","FrP",,"Progress Party",,"NOR"
"Norway","#5780004","Socialist Left Party (SV)","SV",,"Socialist Left Party",,"NOR"
"Norway","#5780005","The Greens (MDG)","MDG",,"The Greens",,"NOR"
"Norway","#5780006","Center Party (Sp)","Sp",,"Center Party",,"NOR"
"Norway","#5780007","Christian People's Party (KrF)","KrF",,"Christian People's Party",,"NOR"
"Norway","#5780008","Liberal Party (V)","V",,"Liberal Party",,"NOR"
"Norway","#5780009","Red Party (R)","R",,"Red Party","Red Party (R) was founded in March 2007. It was the result of a merger between the Workers Communist Party (AKP) and the Red Electoral Alliance (RV). In the CSES MODULE 3 Codebook, the Red Party was still listed as Red Electoral Alliance for the 2009 Norwegian election.","NOR"
"Norway","#5780010","Red Electoral Alliance (RV)","RV",,"Red Electoral Alliance",,"NOR"
"Peru","#6040001","Popular Force (FP)","FP",,"Popular Force","Popular Force (FP) was known as Force 2011 until 2012. It succeeded the previous Fujimori supporting party, Alliance for the Future, and was founded in 2011.","PER"
"Peru","#6040002","Peruvians for Change (PPK)","PPK",,"Peruvians for Change",,"PER"
"Peru","#6040003","Broad Front for Justice, Life and Liberty (Frente Amplio)","Frente Amplio",,"Broad Front for Justice, Life and Liberty",,"PER"
"Peru","#6040004","Alliance for Progress (APP)","APP",,"Alliance for Progress","Alliance for Progress (APP) is listed as ""AVANCEMOS/RENOVACION"" in the CSES MODULE 1 Codebook. In the Codebook of MODULE 4, the party is referred to as ""Alliance for Progress of Peru"".","PER"
"Peru","#6040005","People's Alliance",,,"People's Alliance",,"PER"
"Peru","#6040006","Popular Action (AP)","AP",,"Popular Action",,"PER"
"Peru","#6040007","Direct Democracy",,,"Direct Democracy",,"PER"
"Peru","#6040008","Possible Peru",,,"Possible Peru",,"PER"
"Peru","#6040009","Hope Front",,,"Hope Front",,"PER"
"Peru","#6040014","National Restoration (RN)","RN",,"National Restoration",,"PER"
"Peru","#6040015","National Solidarity Alliance",,,"National Solidarity Alliance",,"PER"
"Peru","#6040016","We Are Peru (PDSP)","PDSP",,"We Are Peru",,"PER"
"Peru","#6040017","Possible Peru (PP)","PP",,"Possible Peru",,"PER"
"Peru","#6040018","Peruvian Nationalist Party (PNP)","PNP",,"Peruvian Nationalist Party",,"PER"
"Peru","#6040019","Union for Peru (UPP)","UPP",,"Union for Peru",,"PER"
"Peru","#6040020","Christian People's Party (PPC)","PPC",,"Christian People's Party",,"PER"
"Peru","#6040021","New Majority (Peru 2000 Block) (NM)",,"Peru 2000 Block-NM","New Majority (Peru 2000 Block)",,"PER"
"Peru","#6040022","Change 90 (Peru 2000 Block)","Peru 2000 Block",,"Change 90",,"PER"
"Peru","#6040023","Moralizing Independent Front (FIM)","FIM",,"Moralizing Independent Front",,"PER"
"Peru","#6040024","Agrarian People's Front of Peru (FREPAP)","FREPAP",,"Agrarian People's Front of Peru",,"PER"
"Peru","#6040025","Center Front (FDC)","FDC",,"Center Front",,"PER"
"Peru","#6040026","Peruvian Aprista Party (PAP)","PAP",,"Peruvian Aprista Party","Peruvian Aprista Party (PAP) is also known as the American Popular Revolutionary Alliance (APRA).","PER"
"Peru","#6040027","Andean Renaissance",,,"Andean Renaissance",,"PER"
"Peru","#6040028","Let's Go Neighbour (VV)","VV",,"Let's Go Neighbour",,"PER"
"Peru","#6040029","All for Victory",,,"All for Victory",,"PER"
"Peru","#6040030","People's Solution",,,"People's Solution",,"PER"
"Peru","#6040031","Forwards",,,"Forwards",,"PER"
"Peru","#6040032","National Independent Front Peru 2000",,,"National Independent Front Peru 2000",,"PER"
"Peru","#6040033","Project Country",,,"Project Country",,"PER"
"Peru","#6040034","National Solidarity Party (PSN)","PSN",,"National Solidarity Party",,"PER"
"Peru","#6040050","Peru Wins (UPP)","UPP",,"Peru Wins",,"PER"
"Peru","#6040051","Alliance for the Great Change (APGC)","APGC",,"Alliance for the Great Change",,"PER"
"Peru","#6040052","National Unity (UN)","UN",,"National Unity",,"PER"
"Peru","#6040053","Alliance for the Future (AF)","AF",,"Alliance for the Future",,"PER"
"Peru","#6040054","Peru 2000",,,"Peru 2000",,"PER"
"Philippines","#6080001","Liberal Party (LP)","LP",,"Liberal Party",,"PHL"
"Philippines","#6080002","Nationalist People's Coalition (NPC)","NPC",,"Nationalist People's Coalition",,"PHL"
"Philippines","#6080003","National Unity Party (NUP)","NUP",,"National Unity Party",,"PHL"
"Philippines","#6080004","Nationalist Party (NP)","NP",,"Nationalist Party",,"PHL"
"Philippines","#6080005","United Nationalist Alliance (UNA)","UNA",,"United Nationalist Alliance",,"PHL"
"Philippines","#6080006","Philippine Democratic Party (PDP-LABAN)","PDP-LABAN",,"Philippine Democratic Party",,"PHL"
"Philippines","#6080007","Lakas - Christian-Muslim Democrats (LAKAS-CMD)","LAKAS-CMD",,"Lakas - Christian-Muslim Democrats",,"PHL"
"Philippines","#6080008","Democratic Action (Aksyon)","Aksyon",,"Democratic Action",,"PHL"
"Philippines","#6080009","People's Reform Party (PRP)","PRP",,"People's Reform Party",,"PHL"
"Philippines","#6080016","Asenso Manileno Movement (AM)","AM",,"Asenso Manileno Movement",,"PHL"
"Philippines","#6080017","New Society Movement (KBL)","KBL",,"New Society Movement",,"PHL"
"Philippines","#6080018","Force of the Philippine Masses (PMP)","PMP",,"Force of the Philippine Masses","Force of the Philippine Masses (PMP) was known as Filipino Worker's Party until it changed name in 2003.","PHL"
"Philippines","#6080019","Voice of the Masses Party (PTM)","PTM",,"Voice of the Masses Party",,"PHL"
"Philippines","#6080020","Abono Party List (Abono)","Abono",,"Abono Party List",,"PHL"
"Philippines","#6080021","Arts, Business and Science Professionals (Abs)","Abs",,"Arts, Business and Science Professionals",,"PHL"
"Philippines","#6080022","Anti-Crime and Terrorism Community Involvement and Support, Inc. (ACT-CIS)","ACT-CIS",,"Anti-Crime and Terrorism Community Involvement and Support, Inc.",,"PHL"
"Philippines","#6080023","Alliance for Concerned Teachers (ACT-Teachers)","ACT-Teachers",,"Alliance for Concerned Teachers",,"PHL"
"Philippines","#6080024","Acts Overseas Philippine Workers Coalition of Organizations (ACTS-OFW)","ACTS-OFW",,"Acts Overseas Philippine Workers Coalition of Organizations",,"PHL"
"Philippines","#6080025","Association for Development Dedicated to Agriculture and Fisheries, Inc. (Adda)","Adda",,"Association for Development Dedicated to Agriculture and Fisheries, Inc.",,"PHL"
"Philippines","#6080026","Agricultural Sector Alliance of the Philippines (AGAP)","AGAP",,"Agricultural Sector Alliance of the Philippines",,"PHL"
"Philippines","#6080027","Agbiag! Timpuyog Ilocano, Inc. (Agbiag!)","Agbiag!",,"Agbiag! Timpuyog Ilocano, Inc.",,"PHL"
"Philippines","#6080028","Alliance of Groups Supporting Science and Technology for the People (Agham)","Agham",,"Alliance of Groups Supporting Science and Technology for the People",,"PHL"
"Philippines","#6080029","Agri-Agra na Reforma para sa Magsasaka ng Pilipinas Movement (AGRI)","AGRI",,"Agri-Agra na Reforma para sa Magsasaka ng Pilipinas Movement",,"PHL"
"Philippines","#6080030","Akbayan Citizens' Action Party (Akbayan)","Akbayan",,"Akbayan Citizens' Action Party",,"PHL"
"Philippines","#6080031","Akbay Kalusugan, Inc. (Akin)","Akin",,"Akbay Kalusugan, Inc.",,"PHL"
"Philippines","#6080032","Ako Bicol (AKB)","AKB",,"Ako Bicol",,"PHL"
"Philippines","#6080033","Alay Buhay Community Development Foundation, Inc. (Alay Buhay)","Alay Buhay",,"Alay Buhay Community Development Foundation, Inc.",,"PHL"
"Philippines","#6080034","One Patriotic Coalition of Marginalized Nationals (1-Pacman)","1-Pacman",,"One Patriotic Coalition of Marginalized Nationals",,"PHL"
"Philippines","#6080035","An Waray",,,"An Waray",,"PHL"
"Philippines","#6080036","Anak Bayan",,,"Anak Bayan",,"PHL"
"Philippines","#6080037","Ang National Coalition of Indigenous Peoples Action Na!, Inc. (Anac-Ip)","Anac-Ip",,"Ang National Coalition of Indigenous Peoples Action Na!, Inc.",,"PHL"
"Philippines","#6080038","Anakpawis (Anakpawis)","Anakpawis",,"Anakpawis",,"PHL"
"Philippines","#6080039","Una Ang Edukasyon (1-Ang Edukasyon)","1-Ang Edukasyon",,"Una Ang Edukasyon",,"PHL"
"Philippines","#6080040","Ang Kabuhayan",,,"Ang Kabuhayan",,"PHL"
"Philippines","#6080041","Angkla: Ang Partido ng Pilipinong Marino, Inc. (Angkla)","Angkla",,"Angkla: Ang Partido ng Pilipinong Marino, Inc.",,"PHL"
"Philippines","#6080042","Asia-Pacific Economic Cooperation (Apec)","Apec",,"Asia-Pacific Economic Cooperation",,"PHL"
"Philippines","#6080043","Append, Inc. (APPEND)","APPEND",,"Append, Inc.",,"PHL"
"Philippines","#6080044","Ating Guro",,,"Ating Guro",,"PHL"
"Philippines","#6080045","Bagong Henerasyon (Bh)","Bh",,"Bagong Henerasyon",,"PHL"
"Philippines","#6080046","Bayan Muna",,,"Bayan Muna",,"PHL"
"Philippines","#6080047","Abakada-Gur (Abakada)","Abakada",,"Abakada-Gur",,"PHL"
"Philippines","#6080048","Butil Farmers Party (Butil)","Butil",,"Butil Farmers Party",,"PHL"
"Philippines","#6080049","Cancer Alleviation Network on Care, Education and Rehabilitation, Inc. (Cancer)","Cancer",,"Cancer Alleviation Network on Care, Education and Rehabilitation, Inc.",,"PHL"
"Philippines","#6080050","Citizen's Battle Against Corruption (CIBAC)","CIBAC",,"Citizen's Battle Against Corruption",,"PHL"
"Philippines","#6080051","Central Luzon Alliance for Socialized Education (Clase)","Clase",,"Central Luzon Alliance for Socialized Education",,"PHL"
"Philippines","#6080052","Cooperative NATCCO Party (COOP-NATCCO)","COOP-NATCCO",,"Cooperative NATCCO Party",,"PHL"
"Philippines","#6080053","Democratic Independent Workers Association, Inc. (Diwa)","Diwa",,"Democratic Independent Workers Association, Inc.",,"PHL"
"Philippines","#6080054","Gabriela Women's Party (GABRIELA)","GABRIELA",,"Gabriela Women's Party",,"PHL"
"Philippines","#6080055","Global Workers and Family Federation, Inc. (Global)","Global",,"Global Workers and Family Federation, Inc.",,"PHL"
"Philippines","#6080056","Kabataan",,,"Kabataan",,"PHL"
"Philippines","#6080057","Kusug Tausug",,,"Kusug Tausug",,"PHL"
"Philippines","#6080058","Power-Team",,,"Power-Team",,"PHL"
"Philippines","#6080059","Reform the Armed Forces Movement (RAM)","RAM",,"Reform the Armed Forces Movement",,"PHL"
"Philippines","#6080060","Sandigan ng mga Manggagawa sa Konstruksyon (Samako)","Samako",,"Sandigan ng mga Manggagawa sa Konstruksyon",,"PHL"
"Philippines","#6080061","Coalition of Associations of Senior Citizens of the Philippines (Senior Citizens)","Senior Citizens",,"Coalition of Associations of Senior Citizens of the Philippines",,"PHL"
"Philippines","#6080062","Talino at Galing ng Pinoy (TGP)","TGP",,"Talino at Galing ng Pinoy",,"PHL"
"Philippines","#6080063","Trade Union Congress Party (TUCP)","TUCP",,"Trade Union Congress Party",,"PHL"
"Philippines","#6080064","Manila Teachers Savings and Loan Association, Inc. (Manila Teachers)","Manila Teachers",,"Manila Teachers Savings and Loan Association, Inc.",,"PHL"
"Philippines","#6080065","Marino Samahan ng mga Seaman, Inc. (Marino)","Marino",,"Marino Samahan ng mga Seaman, Inc.",,"PHL"
"Philippines","#6080066","Movement of Women for Change and Reform (Melchora)","Melchora",,"Movement of Women for Change and Reform",,"PHL"
"Philippines","#6080067","National Confederation of Tricycle Operators and Drivers Association of the Philippines, Inc. (Nactodap)","Nactodap",,"National Confederation of Tricycle Operators and Drivers Association of the Philippines, Inc.",,"PHL"
"Philippines","#6080068","Ang Mata'y Alagaan (Mata)","Mata",,"Ang Mata'y Alagaan",,"PHL"
"Philippines","#6080069","Pwersa ng Bayaning Atleta (Pba)","Pba",,"Pwersa ng Bayaning Atleta",,"PHL"
"Philippines","#6080070","Struggle for Democratic Philipinos (LDP)","LDP",,"Struggle for Democratic Philipinos",,"PHL"
"Philippines","#6080071","Kabayan Party List (Kabayan)","Kabayan",,"Kabayan Party List",,"PHL"
"Philippines","#6080072","Bando Osmena Pundok Kauswagan (BOPK)","BOPK",,"Bando Osmena Pundok Kauswagan","Bando Osmena Pundok Kauswagan (BOPK) is a Liberal Party that is affiliated with the Liberal Party (LP).","PHL"
"Philippines","#6080073","Kasangga sa Kaunlaran, Inc. (Ang Kasangga)","Ang Kasangga",,"Kasangga sa Kaunlaran, Inc.",,"PHL"
"Philippines","#6080074","Ang Nars, Inc. (Ang Nars)","Ang Nars",,"Ang Nars, Inc.",,"PHL"
"Philippines","#6080075","Alliance of Philippine Fishing Federations, Inc. (All-Fish)","All-Fish",,"Alliance of Philippine Fishing Federations, Inc.",,"PHL"
"Philippines","#6080076","Anak Mindanao (AMIN)","AMIN",,"Anak Mindanao",,"PHL"
"Philippines","#6080077","Association of Marine officers and rating, Inc. (Amor Seaman)","Amor Seaman",,"Association of Marine officers and rating, Inc.",,"PHL"
"Philippines","#6080078","Abante Retirees Party-List Organization (Abante Retirees)","Abante Retirees",,"Abante Retirees Party-List Organization",,"PHL"
"Philippines","#6080079","Alliance of Believers Bridge in Attaining Accurate and Meaningful Advancement (ABBA-AMA)","ABBA-AMA",,"Alliance of Believers Bridge in Attaining Accurate and Meaningful Advancement",,"PHL"
"Philippines","#6080080","Abang Lingkod, Inc. (Abang Lingkod)","Abang Lingkod",,"Abang Lingkod, Inc.",,"PHL"
"Philippines","#6080081","1st Consumers Alliance for Rural Energy, Inc. (1-Care)","1-Care",,"1st Consumers Alliance for Rural Energy, Inc.",,"PHL"
"Philippines","#6080082","One Cebu (1-Cebu)","1-Cebu",,"One Cebu",,"PHL"
"Philippines","#6080083","Ang Asosasyon Sang Mangunguma Nga Bisaya Owa Mangunguma, Inc. (Aambis-Owa)","Aambis-Owa",,"Ang Asosasyon Sang Mangunguma Nga Bisaya Owa Mangunguma, Inc.",,"PHL"
"Philippines","#6080084","Democratic Action (AD)","AD",,"Democratic Action",,"PHL"
"Philippines","#6080085","Ahon Pinoy (Ahon)","Ahon",,"Ahon Pinoy",,"PHL"
"Philippines","#6080086","Aksyon Magsasaka Partido Tinig ng Masa (AKMA-PTM)","AKMA-PTM",,"Aksyon Magsasaka Partido Tinig ng Masa",,"PHL"
"Philippines","#6080087","Alliance for the Common Good (AKP)","AKP",,"Alliance for the Common Good","Alliance for the Common Good (AKP) is also known as ""Ang Kapatiran Party"".","PHL"
"Philippines","#6080088","Alayon - Nationalist Party (ALAYON - NP)","ALAYON - NP",,"Alayon - Nationalist Party",,"PHL"
"Philippines","#6080089","Alayon - National People's Coalition (ALAYON - NPC)","ALAYON - NPC",,"Alayon - National People's Coalition",,"PHL"
"Philippines","#6080090","Ang Laban ng Indiginong Philippine (ALIF)","ALIF",,"Ang Laban ng Indiginong Philippine",,"PHL"
"Philippines","#6080091","Ang Laban ng Indiginong Philippine (ALIF)","ALIF",,"Ang Laban ng Indiginong Philippine",,"PHL"
"Philippines","#6080092","Apdr-Acc",,,"Apdr-Acc",,"PHL"
"Philippines","#6080093","Alliance Party For Progress (APP)","APP",,"Alliance Party For Progress",,"PHL"
"Philippines","#6080094","Arangkada San Joseno (ASJ)","ASJ",,"Arangkada San Joseno",,"PHL"
"Philippines","#6080095","Academicians, Students and Educators Alliance, Inc. (Asean, Inc.)","Asean, Inc.",,"Academicians, Students and Educators Alliance, Inc.",,"PHL"
"Philippines","#6080096","Philippine Coconut Producers Federation (Cocofed)","Cocofed",,"Philippine Coconut Producers Federation",,"PHL"
"Philippines","#6080097","Confederation of Non-Stocks Savings and Loan Associations Inc. (Consla)","Consla",,"Confederation of Non-Stocks Savings and Loan Associations Inc.",,"PHL"
"Philippines","#6080098","Communist Party of the Philippines - New People's Army (CPP - NPA)","CPP - NPA",,"Communist Party of the Philippines - New People's Army",,"PHL"
"Philippines","#6080099","United Opposition (KNP)","KNP",,"United Opposition",,"PHL"
"Philippines","#6080106","May First Labor Movement (KMU)","KMU",,"May First Labor Movement",,"PHL"
"Philippines","#6080107","Coalition of United Philippines (KNP)","KNP",,"Coalition of United Philippines",,"PHL"
"Philippines","#6080108","Struggle of the Patriotic Philippine Masses (LAMMP)","LAMMP",,"Struggle of the Patriotic Philippine Masses",,"PHL"
"Philippines","#6080109","Citizens Against Drugs (MAD)","MAD",,"Citizens Against Drugs",,"PHL"
"Philippines","#6080110","Magdalo Para sa Pilipino (Magdalo)","Magdalo",,"Magdalo Para sa Pilipino",,"PHL"
"Philippines","#6080111","Partido ng Bayan ng Bida (PBB)","PBB",,"Partido ng Bayan ng Bida",,"PHL"
"Philippines","#6080112","Philippine Democratic Socialist Party (PDSP)","PDSP",,"Philippine Democratic Socialist Party",,"PHL"
"Philippines","#6080113","PISTON Land Transportation Coalition, Inc. (Piston)","Piston",,"PISTON Land Transportation Coalition, Inc.",,"PHL"
"Philippines","#6080114","Labor Party (PM)","PM",,"Labor Party",,"PHL"
"Philippines","#6080115","Party of the Laboring Masses (PLM)","PLM",,"Party of the Laboring Masses","Party of the Laboring Masses (PLM) is listed as ""MASA"" in the CSES MODULE 2 Codebook. The full name of the party is ""Partido Lakas ng Masa"".","PHL"
"Philippines","#6080116","Progressive Movement for the Devolution of Initiatives (PROMDI)","PROMDI",,"Progressive Movement for the Devolution of Initiatives",,"PHL"
"Philippines","#6080117","New Nation- Volunteers for a New Philippines (VNP)","VNP",,"New Nation- Volunteers for a New Philippines",,"PHL"
"Philippines","#6080118","Untied Nationalist Democratic Organization (UNIDO)","UNIDO",,"Untied Nationalist Democratic Organization",,"PHL"
"Philippines","#6080119","Tingog Sinirangan",,,"Tingog Sinirangan",,"PHL"
"Philippines","#6080120","Party of the People of the City",,,"Party of the People of the City",,"PHL"
"Philippines","#6080121","Ladlad",,,"Ladlad","Ladlad is also known as LGBT Party.","PHL"
"Philippines","#6080122","Aangat Tayo",,,"Aangat Tayo",,"PHL"
"Philippines","#6080123","Sisters of Gabriela, Awaken (SiGAw)","SiGAw",,"Sisters of Gabriela, Awaken",,"PHL"
"Philippines","#6080124","Sanlakas (SANLAKAS)","SANLAKAS",,"Sanlakas",,"PHL"
"Philippines","#6080125","Veterans Federation of the Philippines (VFP)","VFP",,"Veterans Federation of the Philippines",,"PHL"
"Philippines","#6080126","You Against Corruption and Poverty (Yacap)","Yacap",,"You Against Corruption and Poverty",,"PHL"
"Philippines","#6080127","Party for Democratic Reforms - Workers' and Farmers' Party (Reporma - LM)","Reporma - LM",,"Party for Democratic Reforms - Workers' and Farmers' Party",,"PHL"
